BY,Stock,Region,Area,S,R
1994,Area 10,BC Central Coast,South,2.03,6.8
1995,Area 10,BC Central Coast,South,26.53,1.5
1950,Area 9,BC Central Coast,South,47.33,201.3
1951,Area 9,BC Central Coast,South,116.03,151.71
1952,Area 9,BC Central Coast,South,44.75,47.74
1953,Area 9,BC Central Coast,South,44,112.78
1954,Area 9,BC Central Coast,South,5.95,146.84
1955,Area 9,BC Central Coast,South,9.3,57.7
1956,Area 9,BC Central Coast,South,52.7,172.41
1957,Area 9,BC Central Coast,South,7.6,56.44
1958,Area 9,BC Central Coast,South,24.13,113.77
1959,Area 9,BC Central Coast,South,19.25,149.09
1960,Area 9,BC Central Coast,South,5.85,779.73
1961,Area 9,BC Central Coast,South,22.45,52.11
1962,Area 9,BC Central Coast,South,121.93,276.44
1963,Area 9,BC Central Coast,South,16.78,48.72
1964,Area 9,BC Central Coast,South,68.85,375.25
1965,Area 9,BC Central Coast,South,18.88,30.77
1966,Area 9,BC Central Coast,South,118.65,1559.61
1967,Area 9,BC Central Coast,South,0.1,23.62
1968,Area 9,BC Central Coast,South,111.05,329.88
1969,Area 9,BC Central Coast,South,0.53,58.84
1970,Area 9,BC Central Coast,South,144.18,1312.6
1971,Area 9,BC Central Coast,South,34.21,99.61
1972,Area 9,BC Central Coast,South,502.4,574.49
1973,Area 9,BC Central Coast,South,9.77,114.21
1974,Area 9,BC Central Coast,South,214.85,843.77
1975,Area 9,BC Central Coast,South,87.15,237.78
1976,Area 9,BC Central Coast,South,259.6,482.83
1977,Area 9,BC Central Coast,South,47.6,73.01
1978,Area 9,BC Central Coast,South,109.65,146.71
1979,Area 9,BC Central Coast,South,49.35,196.89
1980,Area 9,BC Central Coast,South,135.8,101.95
1981,Area 9,BC Central Coast,South,93.05,136.11
1982,Area 9,BC Central Coast,South,100,217.84
1983,Area 9,BC Central Coast,South,124.28,352.64
1984,Area 9,BC Central Coast,South,138.1,440.59
1985,Area 9,BC Central Coast,South,276.7,173.08
1986,Area 9,BC Central Coast,South,289.82,390.93
1987,Area 9,BC Central Coast,South,65.19,30.26
1988,Area 9,BC Central Coast,South,242.15,410.56
1989,Area 9,BC Central Coast,South,25.62,6.99
1990,Area 9,BC Central Coast,South,257.2,291.53
1991,Area 9,BC Central Coast,South,4.99,15.38
1992,Area 9,BC Central Coast,South,158.59,116.53
1993,Area 9,BC Central Coast,South,13.1,18.63
1994,Area 9,BC Central Coast,South,97.55,333.2
1995,Area 9,BC Central Coast,South,18,156.92
1996,Area 9,BC Central Coast,South,333.2,155.5
1950,Area 8,BC Central Coast,South,260.61,1184.32
1951,Area 8,BC Central Coast,South,988.17,945.17
1952,Area 8,BC Central Coast,South,545.29,1202.64
1953,Area 8,BC Central Coast,South,428.15,527.1
1954,Area 8,BC Central Coast,South,351.38,1810.23
1955,Area 8,BC Central Coast,South,350.29,919.62
1956,Area 8,BC Central Coast,South,781.08,1085.04
1957,Area 8,BC Central Coast,South,571.78,957.27
1958,Area 8,BC Central Coast,South,283.41,3052.16
1959,Area 8,BC Central Coast,South,530.05,2982.9
1960,Area 8,BC Central Coast,South,1571.37,16054.13
1961,Area 8,BC Central Coast,South,1249,2767.4
1962,Area 8,BC Central Coast,South,3910.09,3594.02
1963,Area 8,BC Central Coast,South,748.43,801.3
1964,Area 8,BC Central Coast,South,763.13,3059.85
1965,Area 8,BC Central Coast,South,222.1,86.33
1966,Area 8,BC Central Coast,South,939.85,7445.62
1967,Area 8,BC Central Coast,South,66.31,77.98
1968,Area 8,BC Central Coast,South,2095,2743.46
1969,Area 8,BC Central Coast,South,59.93,292.96
1970,Area 8,BC Central Coast,South,731.1,2440.87
1971,Area 8,BC Central Coast,South,257.15,223.66
1972,Area 8,BC Central Coast,South,1356.1,4235.82
1973,Area 8,BC Central Coast,South,166.88,240.53
1974,Area 8,BC Central Coast,South,1469.9,3289.43
1975,Area 8,BC Central Coast,South,150.1,529.52
1976,Area 8,BC Central Coast,South,1382.2,4053.95
1977,Area 8,BC Central Coast,South,434.69,1805.03
1978,Area 8,BC Central Coast,South,2293.48,2011.08
1979,Area 8,BC Central Coast,South,1123.33,2345.96
1980,Area 8,BC Central Coast,South,1127.73,234.53
1981,Area 8,BC Central Coast,South,737.36,2206.18
1982,Area 8,BC Central Coast,South,195.59,1138.27
1983,Area 8,BC Central Coast,South,1420.27,4009.01
1984,Area 8,BC Central Coast,South,967.21,6692.27
1985,Area 8,BC Central Coast,South,2793.62,780.24
1986,Area 8,BC Central Coast,South,3271.54,13911.81
1987,Area 8,BC Central Coast,South,383.06,680.92
1988,Area 8,BC Central Coast,South,5204.57,6394.9
1989,Area 8,BC Central Coast,South,522.53,2513.51
1990,Area 8,BC Central Coast,South,2759.84,7322.76
1991,Area 8,BC Central Coast,South,2399.35,1442.57
1992,Area 8,BC Central Coast,South,4614.4,929.66
1993,Area 8,BC Central Coast,South,1184.71,853.53
1994,Area 8,BC Central Coast,South,367.79,2210.85
1995,Area 8,BC Central Coast,South,629.1,1882.73
1996,Area 8,BC Central Coast,South,1844.35,1113.77
1950,Area 6,BC North Coast,South,204.48,1857.25
1951,Area 6,BC North Coast,South,633.83,268.62
1952,Area 6,BC North Coast,South,480.55,790.78
1953,Area 6,BC North Coast,South,121.09,525.71
1954,Area 6,BC North Coast,South,210.9,2268.59
1955,Area 6,BC North Coast,South,151.33,237.34
1956,Area 6,BC North Coast,South,537.03,1494.36
1957,Area 6,BC North Coast,South,62.03,378.12
1958,Area 6,BC North Coast,South,416.08,1364.35
1959,Area 6,BC North Coast,South,241.98,1712.84
1960,Area 6,BC North Coast,South,568.18,6628.07
1961,Area 6,BC North Coast,South,670.48,2834.38
1962,Area 6,BC North Coast,South,2822.73,2938.38
1963,Area 6,BC North Coast,South,1329.75,1738.3
1964,Area 6,BC North Coast,South,1509.23,4485.55
1965,Area 6,BC North Coast,South,509.15,196.11
1966,Area 6,BC North Coast,South,1139.5,4249.94
1967,Area 6,BC North Coast,South,95.53,139.84
1968,Area 6,BC North Coast,South,1182.3,3544.64
1969,Area 6,BC North Coast,South,105.42,606.81
1970,Area 6,BC North Coast,South,753.7,6112.82
1971,Area 6,BC North Coast,South,366.45,633.71
1972,Area 6,BC North Coast,South,1023.9,926.59
1973,Area 6,BC North Coast,South,233.04,348.93
1974,Area 6,BC North Coast,South,400.93,1508.33
1975,Area 6,BC North Coast,South,309.08,546.79
1976,Area 6,BC North Coast,South,1021.29,3581.34
1977,Area 6,BC North Coast,South,142.69,1214.7
1978,Area 6,BC North Coast,South,853.86,3615.58
1979,Area 6,BC North Coast,South,489.72,1627.9
1980,Area 6,BC North Coast,South,740.11,984.04
1981,Area 6,BC North Coast,South,377.4,4045.53
1982,Area 6,BC North Coast,South,403.27,1240.06
1983,Area 6,BC North Coast,South,476.79,2552.29
1984,Area 6,BC North Coast,South,638.85,6073.83
1985,Area 6,BC North Coast,South,1044.8,1603.74
1986,Area 6,BC North Coast,South,1429.76,9159.52
1987,Area 6,BC North Coast,South,673.62,623.26
1988,Area 6,BC North Coast,South,1448.58,2854.81
1989,Area 6,BC North Coast,South,579.4,1141.7
1990,Area 6,BC North Coast,South,954.62,1247.84
1991,Area 6,BC North Coast,South,611.92,286
1992,Area 6,BC North Coast,South,700.8,353.5
1993,Area 6,BC North Coast,South,277.79,618.14
1994,Area 6,BC North Coast,South,237.02,1420.77
1995,Area 6,BC North Coast,South,593.59,433.12
1950,Area 2E,BC North Coast,South,357.25,1308.89
1951,Area 2E,BC North Coast,South,29.78,26.32
1952,Area 2E,BC North Coast,South,715.05,760.82
1953,Area 2E,BC North Coast,South,25.78,52.91
1954,Area 2E,BC North Coast,South,406,415.47
1955,Area 2E,BC North Coast,South,23.28,173.85
1956,Area 2E,BC North Coast,South,261.6,737.24
1957,Area 2E,BC North Coast,South,46.28,147
1958,Area 2E,BC North Coast,South,312.9,566.68
1959,Area 2E,BC North Coast,South,142.28,58.58
1960,Area 2E,BC North Coast,South,370.7,1521.05
1961,Area 2E,BC North Coast,South,42.33,115.4
1962,Area 2E,BC North Coast,South,677.45,176.45
1963,Area 2E,BC North Coast,South,115.4,45.92
1964,Area 2E,BC North Coast,South,138.8,784.77
1965,Area 2E,BC North Coast,South,45.7,75.31
1966,Area 2E,BC North Coast,South,509.38,1253.94
1967,Area 2E,BC North Coast,South,71.95,146.16
1968,Area 2E,BC North Coast,South,769.34,1385.87
1969,Area 2E,BC North Coast,South,120.43,27.44
1970,Area 2E,BC North Coast,South,808.36,1143.27
1971,Area 2E,BC North Coast,South,26.7,34.62
1972,Area 2E,BC North Coast,South,766.95,644.73
1973,Area 2E,BC North Coast,South,34.23,26.03
1974,Area 2E,BC North Coast,South,423.17,2233.2
1975,Area 2E,BC North Coast,South,20.37,11.51
1976,Area 2E,BC North Coast,South,615.1,774.89
1977,Area 2E,BC North Coast,South,8.58,21.79
1978,Area 2E,BC North Coast,South,528.39,306.18
1979,Area 2E,BC North Coast,South,21.79,9.43
1980,Area 2E,BC North Coast,South,305.17,164.3
1981,Area 2E,BC North Coast,South,9.25,13.24
1982,Area 2E,BC North Coast,South,164.2,235.48
1983,Area 2E,BC North Coast,South,13.24,29.37
1984,Area 2E,BC North Coast,South,191.85,1056.91
1985,Area 2E,BC North Coast,South,19.99,35.8
1986,Area 2E,BC North Coast,South,703.76,710.55
1987,Area 2E,BC North Coast,South,35.57,25.98
1988,Area 2E,BC North Coast,South,572.3,1211.59
1989,Area 2E,BC North Coast,South,23.26,14.21
1990,Area 2E,BC North Coast,South,876.18,677.87
1991,Area 2E,BC North Coast,South,14.07,18.35
1992,Area 2E,BC North Coast,South,654.26,586.62
1993,Area 2E,BC North Coast,South,18.14,3.88
1994,Area 2E,BC North Coast,South,501.81,624.37
1995,Area 2E,BC North Coast,South,3.84,5.62
1960,SEAK S,Southeast Alaska,North,1363.4,14302.77
1961,SEAK S,Southeast Alaska,North,948.17,9797.11
1962,SEAK S,Southeast Alaska,North,3295.48,16700.79
1963,SEAK S,Southeast Alaska,North,4651.88,9612.62
1964,SEAK S,Southeast Alaska,North,5441.8,22764.43
1965,SEAK S,Southeast Alaska,North,3902.16,1671.56
1966,SEAK S,Southeast Alaska,North,7114.73,19792.26
1967,SEAK S,Southeast Alaska,North,1030.02,4208.08
1968,SEAK S,Southeast Alaska,North,4591.56,9221.73
1969,SEAK S,Southeast Alaska,North,3010.39,11427.03
1970,SEAK S,Southeast Alaska,North,3810.11,13262.36
1971,SEAK S,Southeast Alaska,North,5179.44,8673.89
1972,SEAK S,Southeast Alaska,North,4109.36,8076.72
1973,SEAK S,Southeast Alaska,North,4118.89,9403.25
1974,SEAK S,Southeast Alaska,North,3855.72,13915.96
1975,SEAK S,Southeast Alaska,North,6073.25,25377.18
1976,SEAK S,Southeast Alaska,North,8758.96,30480.23
1977,SEAK S,Southeast Alaska,North,14135.18,17390.94
1978,SEAK S,Southeast Alaska,North,12055.23,25591.34
1979,SEAK S,Southeast Alaska,North,10398.94,25289.36
1980,SEAK S,Southeast Alaska,North,12684.34,22393.02
1981,SEAK S,Southeast Alaska,North,11821.36,46026.86
1982,SEAK S,Southeast Alaska,North,9476.02,38440.27
1983,SEAK S,Southeast Alaska,North,14605.86,56955.48
1984,SEAK S,Southeast Alaska,North,18803.27,76929.92
1985,SEAK S,Southeast Alaska,North,26255.48,17406.26
1986,SEAK S,Southeast Alaska,North,31929.92,17569.48
1987,SEAK S,Southeast Alaska,North,12806.26,65850.44
1988,SEAK S,Southeast Alaska,North,8522.48,42457.44
1989,SEAK S,Southeast Alaska,North,20050.44,58805.83
1990,SEAK S,Southeast Alaska,North,15757.44,35377.06
1991,SEAK S,Southeast Alaska,North,15305.83,58847.86
1992,SEAK S,Southeast Alaska,North,16377.06,36654.6
1993,SEAK S,Southeast Alaska,North,19847.86,66624.78
1994,SEAK S,Southeast Alaska,North,15554.6,98932.04
1995,SEAK S,Southeast Alaska,North,25324.78,31997.55
1996,SEAK S,Southeast Alaska,North,45232.04,72329.65
1960,SEAK N Inside,Southeast Alaska,North,608.45,2052.75
1961,SEAK N Inside,Southeast Alaska,North,1940.7,15462.65
1962,SEAK N Inside,Southeast Alaska,North,1565.48,9030.79
1963,SEAK N Inside,Southeast Alaska,North,2834.51,6102.59
1964,SEAK N Inside,Southeast Alaska,North,1819.1,6690.11
1965,SEAK N Inside,Southeast Alaska,North,1545.91,3676.61
1966,SEAK N Inside,Southeast Alaska,North,1929.06,12908.29
1967,SEAK N Inside,Southeast Alaska,North,1354.36,5500.47
1968,SEAK N Inside,Southeast Alaska,North,3067.44,8059.56
1969,SEAK N Inside,Southeast Alaska,North,2015.21,6081.45
1970,SEAK N Inside,Southeast Alaska,North,2882.64,6761.22
1971,SEAK N Inside,Southeast Alaska,North,3153,4540.26
1972,SEAK N Inside,Southeast Alaska,North,3566.05,2792.32
1973,SEAK N Inside,Southeast Alaska,North,2915.59,1466.06
1974,SEAK N Inside,Southeast Alaska,North,2190.82,1348.2
1975,SEAK N Inside,Southeast Alaska,North,1414.85,5068.89
1976,SEAK N Inside,Southeast Alaska,North,1309.35,7325.09
1977,SEAK N Inside,Southeast Alaska,North,4738.55,8961.77
1978,SEAK N Inside,Southeast Alaska,North,4686.75,5318.08
1979,SEAK N Inside,Southeast Alaska,North,6865.7,7175.02
1980,SEAK N Inside,Southeast Alaska,North,3963.7,17654.94
1981,SEAK N Inside,Southeast Alaska,North,4524.74,9656.93
1982,SEAK N Inside,Southeast Alaska,North,6834.68,9645.55
1983,SEAK N Inside,Southeast Alaska,North,6148.26,30058.03
1984,SEAK N Inside,Southeast Alaska,North,5886.19,6241.22
1985,SEAK N Inside,Southeast Alaska,North,14441.31,12654
1986,SEAK N Inside,Southeast Alaska,North,5350.78,6098.36
1987,SEAK N Inside,Southeast Alaska,North,7467.76,20703.59
1988,SEAK N Inside,Southeast Alaska,North,4129.31,11976.21
1989,SEAK N Inside,Southeast Alaska,North,7972.45,27581.79
1990,SEAK N Inside,Southeast Alaska,North,6541.01,23891.77
1991,SEAK N Inside,Southeast Alaska,North,9550.21,24634.61
1992,SEAK N Inside,Southeast Alaska,North,8486.86,49721.47
1993,SEAK N Inside,Southeast Alaska,North,7579.14,11759.61
1994,SEAK N Inside,Southeast Alaska,North,14110.53,19678.79
1995,SEAK N Inside,Southeast Alaska,North,6905.15,22950.67
1996,SEAK N Inside,Southeast Alaska,North,10592.32,22501.9
1960,SEAK N Outside,Southeast Alaska,North,261.42,571.21
1961,SEAK N Outside,Southeast Alaska,North,1265.68,4064.06
1962,SEAK N Outside,Southeast Alaska,North,508.3,778.14
1963,SEAK N Outside,Southeast Alaska,North,2771.33,1977.66
1964,SEAK N Outside,Southeast Alaska,North,707.74,533.55
1965,SEAK N Outside,Southeast Alaska,North,1369.29,609.18
1966,SEAK N Outside,Southeast Alaska,North,507.54,584.78
1967,SEAK N Outside,Southeast Alaska,North,494.25,1477.44
1968,SEAK N Outside,Southeast Alaska,North,543.25,587.35
1969,SEAK N Outside,Southeast Alaska,North,1354.63,1054.57
1970,SEAK N Outside,Southeast Alaska,North,522.63,804.88
1971,SEAK N Outside,Southeast Alaska,North,966.12,1166.33
1972,SEAK N Outside,Southeast Alaska,North,760.05,1052.41
1973,SEAK N Outside,Southeast Alaska,North,916.01,1843.68
1974,SEAK N Outside,Southeast Alaska,North,997.92,996.48
1975,SEAK N Outside,Southeast Alaska,North,1279.89,6511.8
1976,SEAK N Outside,Southeast Alaska,North,898.33,2076.28
1977,SEAK N Outside,Southeast Alaska,North,4336.14,6181.59
1978,SEAK N Outside,Southeast Alaska,North,1941.62,897.5
1979,SEAK N Outside,Southeast Alaska,North,4464.66,6012.22
1980,SEAK N Outside,Southeast Alaska,North,826.88,2161.26
1981,SEAK N Outside,Southeast Alaska,North,3328.5,5557.96
1982,SEAK N Outside,Southeast Alaska,North,1688.52,3626.91
1983,SEAK N Outside,Southeast Alaska,North,3022.63,9968.9
1984,SEAK N Outside,Southeast Alaska,North,2394.27,1234.68
1985,SEAK N Outside,Southeast Alaska,North,4385.62,1781.45
1986,SEAK N Outside,Southeast Alaska,North,1025.13,714.17
1987,SEAK N Outside,Southeast Alaska,North,1367.69,2421.86
1988,SEAK N Outside,Southeast Alaska,North,657.85,1266.68
1989,SEAK N Outside,Southeast Alaska,North,1553,2361.85
1990,SEAK N Outside,Southeast Alaska,North,1101.88,2430.42
1991,SEAK N Outside,Southeast Alaska,North,1993.43,3168.48
1992,SEAK N Outside,Southeast Alaska,North,2035.33,5198.66
1993,SEAK N Outside,Southeast Alaska,North,2123.95,5243.23
